Scammer,Label
Hello this is HUGIE Finance calling.  We're currently providing personal loans with an interest rate of only 5 percent per annum. Our representative will be dispatched to assist you with the application shortly. Prior to their visit please register on HUGIE bettingsite.com. Upon registration you'll receive Rs 5000 as a welcome bonus on your first recharge of minimum Rs 5000.,1
Pepperfry item (Yukashi 3 Door Wardro...) delivery rescheduled. Our team was unable to reach you on your registered contact number to confirm your availability. We will call you in 24 hours to re-schedule the delivery.,0
"Act now to benefit from our unique offer. Transfer the specified amount to this account: Account Number - 4567890123, Account Name: MUTHOOT Insurance Services. Your policy documents will be hand-delivered to your residence by our representative within seven days.",1
It's Shoppers Stop BirthYAY & we loved every moment we've spent with you Nitesh Goyal. Unwrap your gift here https://h391.pctr.co/htjus1qk. Valid- 4-12 Dec. T&C,0
Hello I'm calling from MUTHOOT Finance.  We're currently extending personal loans with an attractive interest rate of just 5 percent per annum. Our representative will visit you to facilitate the application process. Before their visit please register on BILLY BUTCHER bettingplatform.com. Upon registration you'll receive Rs 5000 on your first recharge of minimum Rs 5000 as a welcome offer.,1
"Hello, Mr. Gupta, this is Ananya Singh from your bank's customer care. We're pleased to inform you that your credit card annual fee will be waived off this year due to your valued patronage. To proceed, could you please verify a few details? Your card number ends in 9876 XXXX, and your name is Anil Gupta, correct? Kindly share the OTP you'll receive to finalize the fee waiver process.",1
"Transaction attempted on 02-04-2022, 12:18 at VIDYARTHHI UNIFORMS IND West Delhi IN on your YES BANK Debit Card ending 2494 has been declined due to incorrect PIN.",0
Rs.580 paid to Rajhans Events by 85XXXX8647  on 5:32 PM. Paytm Transaction id: 41937984176. Queries? visit http://m.p-y.tm/care,0
Diwali Bumper Offer - three branded watches worth as 2500 free for every single watch bought!!Hurry up ! Limited Period offer!  Sir! You are lucky. We are about to close the offer .You need not come here .We will deliver at your address.I have shared account details for payment 2500.Please pay to confirm the order.,1
Good day Sir! This is Mark from BSNL Telecom. We're pleased to offer you a SIM card upgrade to enhance your internet connectivity and data benefits. To proceed we need your Aadhaar Card number and the unique 20-digit SIM card number. Upon verification you'll receive an activation text. Respond with 'I' to activate. Keep an eye on your phone for the payment link. Click and complete the payment to avail the offer.,1
"Dear Customer, Your SA KUMAR has added new findings in Job Card JC21001416 for your vehicle UK03A9606. Pl review JC details in below link https://tinyurl.com/yhxhnlcq Please provide your feedback.Regards",0
Sorry I m in a urgent meeting,0
Automatic payment of Rs.3000 will be deducted from Hsbc - 6006 on 20-06-2023 towards Add Money To Wallet. https://m.paytm.me/ATM_01 :PPBL,0
Shop INSTORE/ONLINE bigbazaar.app.link/PH,0
Dear Sir our SURAKSHA plan offers the best protection for your family providing a coverage of 2 lakh for a premium of Rs. 10000. We've reserved this exclusive offer just for today. Act now and you can secure the policy at a 50% discount. Your total payment will be only Rs. 50,1
"Thank you for choosing TATA AIA Life for Insurance need, your application is submitted with us and same is under processing.You can track your application at below link  Regards TATA AIA Life. https://tracker.tataaia.com/Poltrac/",0
"Your automatic payment of Rs.649 has been successfully executed on 09-09-2022 towards Netflix Com, 225272263076. https://m.p-y.tm/UPImandates :PPBL",0
"Act fast to seize this one-time offer. Transfer the required funds to the following account: Account Number - 2345678901, Account Name: STU Insurance Firm. Our representative will deliver your policy documents to your residence within seven days.",1
