Label,Scammer,scam type,trick type,attack type,reason
0,Payment overdue on your card ending 7121 for Rs339.26 Visit https://bit.ly/3eb4ejF to make a secure payment. Please ignore if already paid. StanChart,,,,
0,Cbe is really good nowadays:)lot of shop and showrooms:)city is shaping good.,,,,
1,Your unique user ID is 1172. For removal send STOP to 87239 customer services 08708034412,,,,
0,Havent.,,,,
0,Boooo you always work. Just quit.,,,,
0,Ma head dey swell oh. Thanks for making my day,,,,
0,I asked sen to come chennai and search for job.,,,,
0,K still are you loving me.,,,,
0,"Dear Client, To update your mailing address, PAN, email id - Login to SC Mobile app -- 'Update Profile details' -- Enter OTP sent on registered mobile number -- Make changes and upload documents as required. That's it! Fastest way to have a flawless banking experience. You can access all essential banking services via our Online Banking and SC Mobile app - StanChart",,,,
0,Smith waste da.i wanna gayle.,,,,
0,"Y cant u try new invention to fly..i'm not joking.,",,,,
1,Sir thank you for showing interest in our website. Our company gets the phone directly from the manufacturer so you will get the best price on our website.Sir I would like you to look at this year's best-seller phone i.e. 520 FE. Sir this is the best smartphone in the market.If you place the order within one hour by making full payment then you will receive another 50% amount as cashback after delivery of the mobile phone.,,,,
0,I (Career Tel) have added u as a contact on INDYAROCKS.COM to send FREE SMS. To remove from phonebook - sms NO to  &lt;#&gt;,,,,
0,Hey hun-onbus goin 2 meet him. He wants 2go out 4a meal but I donyt feel like it cuz have 2 get last bus home!But hes sweet latelyxxx,,,,
0,Huh means computational science... Y they like dat one push here n there...,,,,
1,Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY £10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&,,,,
0,"Dear Nitesh, We know everytime you see our diamonds you fall in love all over again. So here's a Tanishq Gift Voucher worth Rs.3000/- specially for you. GV No.669917490. Check details - ic7.in/brZ28xavz *T&C Browse products - ic7.in/bpY2Aw9hj",,,,
0,Armed Forces -AFWHO Invites Application for residential Plots @North of Goa. Booking open For Def/Govt./PSU's Employee's. Call For Registration 8595068534.,,,,
0,No we sell it all so we'll have tons if coins. Then sell our coins to someone thru paypal. Voila! Money back in life pockets:),,,,
1,"Hi Raju! I've got an amazing money-making opportunity that you won't want to miss out on. With just a small investment of Rs. 19,000 in TOMMY company products, you'll receive a complimentary mobile phone worth Rs. 9,500. Plus, for every trio of recruits you bring onboard, you'll earn a commission of Rs. 2,800 per person as you expand the network.",,,,
0,Hope youre not having too much fun without me!! see u tomorrow love jess x,,,,
0,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,,,,
1,SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now!,,,,
0,... Are you in the pub?,,,,
0,Nice.nice.how is it working?,,,,
0,Great. Hope you are using your connections from mode men also cos you can never know why old friends can lead you to today,,,,
0,That's y i said it's bad dat all e gals know u... Wat u doing now?,,,,
1,Hi I've been trying to send you the payment but encountered some technical difficulties. I'll be sending a QR code to your email shortly. Please scan it to receive the funds smoothly.,,,,
0,URGENT: We've detected unusual activity on your Bank of America account. Please call us at 1-800-432-1000 to verify your information and prevent potential fraud.,Phishing,"Authority, Using Misleading Information",Intentional spelling mistakes,"[""It's from a trusted source (Bank of America)"", ""It doesn't ask for sensitive information"", 'It provides a legitimate phone number to call', ""It doesn't contain suspicious links""]"
1,Great News! Call FREEFONE 08006344447 to claim your guaranteed £1000 CASH or £2000 gift. Speak to a live operator NOW!,,,,
0,That is wondarfull song,,,,
0,Gud ni8 dear..slp well..take care..swt dreams..Muah..,,,,
1,"Urgent: Your PayPa1 account has been temporarly suspended due to unusual activty. To reactivate, press 1 to speak with a representitive. This is an automated message from PayPa1 security departement. Do not ignore this message.",Phishing,"Scarcity, Using Pre-Recorded Messages to Sound Legitimate","Intentional spelling mistakes, Homograph Attack","['Uses scarcity tactic to create a sense of urgency', 'Uses a pre-recorded message to sound legitimate', ""Intentional spelling mistake: 'temporarly' instead of 'temporarily'"", ""Homograph attack: 'PayPa1' instead of 'PayPal'"", 'Asks the recipient to take an action that could lead to divulging sensitive information', 'The message creates a sense of fear or panic to prompt the recipient into taking action']"
0,Happy birthday... May u find ur prince charming soon n dun work too hard...,,,,
0,Thank u. IT BETTER WORK OUT CAUSE I WILL FEEL USED OTHERWISE,,,,
1,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G.",,,,
